pl_name,hostname,disc_year,discoverymethod,sy_dist,pl_orbper,decade,5-years period
11 Com b,11 Com,2007,Radial Velocity,93.1846,323.21,2005,2005
11 UMi b,11 UMi,2009,Radial Velocity,125.321,516.21997,2005,2005
14 And b,14 And,2008,Radial Velocity,75.4392,186.76,2005,2005
14 Her b,14 Her,2002,Radial Velocity,17.9323,1765.0389,2000,2000
16 Cyg B b,16 Cyg B,1996,Radial Velocity,21.1397,798.5,1995,1995
17 Sco b,17 Sco,2020,Radial Velocity,124.953,578.38,2020,2020
18 Del b,18 Del,2008,Radial Velocity,76.222,982.85,2005,2005
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Imaging,139.135,,2005,2005
24 Boo b,24 Boo,2018,Radial Velocity,95.9863,30.33,2015,2015
24 Sex b,24 Sex,2010,Radial Velocity,72.0691,452.8,2010,2010
24 Sex c,24 Sex,2010,Radial Velocity,72.0691,883.0,2010,2010
2M0437 b,2MASS J04372171+2651014,2021,Imaging,128.484,,2020,2020
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2013,Imaging,,,2010,2010
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013,Imaging,33.8281,,2010,2010
2MASS J02192210-3925225 b,2MASS J02192210-3925225,2015,Imaging,,,2015,2015
2MASS J0249-0557 c,2MASS J0249-0557 A,2018,Imaging,66.0613,,2015,2015
2MASS J03590986+2009361 b,2MASS J03590986+2009361,2024,Imaging,117.435,,2020,2020
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2010,Imaging,,,2010,2010
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2024,Imaging,,,2020,2020
2MASS J11550485-7919108 b,2MASS J11550485-7919108,2024,Imaging,100.862,,2020,2020
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,Imaging,64.308,,2000,2000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,Eclipse Timing Variations,396.332,406.0,2015,2015
2MASS J21252752-8138278 b,2MASS J21252752-8138278,2024,Imaging,34.1154,,2020,2020
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2016,Imaging,69.5737,,2015,2015
30 Ari B b,30 Ari B,2009,Radial Velocity,44.657,335.10001,2005,2005
4 UMa b,4 UMa,2006,Radial Velocity,73.4603,270.27,2005,2005
47 UMa b,47 UMa,1996,Radial Velocity,13.7967,1078.0,1995,1995
47 UMa c,47 UMa,2001,Radial Velocity,13.7967,2391.0,2000,2000
47 UMa d,47 UMa,2009,Radial Velocity,13.7967,14002.0,2005,2005
51 Eri b,51 Eri,2015,Imaging,29.7575,9100.0,2015,2015
51 Peg b,51 Peg,1995,Radial Velocity,15.4614,4.230785,1995,1995
55 Cnc B b,55 Cnc B,2025,Radial Velocity,12.4773,6.7994,2025,2025
55 Cnc B c,55 Cnc B,2025,Radial Velocity,12.4773,33.747,2025,2025
55 Cnc b,55 Cnc,1996,Radial Velocity,12.5855,14.651552,1995,1995
55 Cnc c,55 Cnc,2004,Radial Velocity,12.5855,44.3936,2000,2000
55 Cnc d,55 Cnc,2002,Radial Velocity,12.5855,4799.0,2000,2000
55 Cnc e,55 Cnc,2004,Radial Velocity,12.5855,0.7365474,2000,2000
55 Cnc f,55 Cnc,2007,Radial Velocity,12.5855,260.58,2005,2005
6 Lyn b,6 Lyn,2008,Radial Velocity,54.6599,919.86,2005,2005
61 Vir b,61 Vir,2009,Radial Velocity,8.50332,4.215,2005,2005
61 Vir c,61 Vir,2009,Radial Velocity,8.50332,38.021,2005,2005
61 Vir d,61 Vir,2009,Radial Velocity,8.50332,123.01,2005,2005
